ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
232,Hermès,Rocabar,Holzig,Harzig / Würzig,"Kopf: Wacholder, Koriander, Zitrone, Bergamotte
Herz: Zeder, Zypresse, Kardamom, Nelke, Veilchen
Basis: Tanne, Benzoe, Patchouli, Vanille, Eichenmoos","holzig, würzig, erdig, grün","gentlemanlike, raffiniert, naturverbunden",Reitsattel und Kiefernwald an einem kühlen Morgen,"Büro, Freizeit, Outdoor","Herbst, Winter, Frühling",6–7 h,moderat,1998er Klassiker mit Reiter‑Inspiration und frischer Nadelnote,Hermès,Rocabar,0.50,"Frisch zitrisch, Alkohol ","Alsterhaus, Douglas Jungfernstieg, Douglas EEZ",,
233,Ormonde Jayne,Ormonde Man,Holzig,Aromatisch / Grün / Würzig,"Kopf: Wacholderbeere, Bergamotte, Rosa Pfeffer, Kardamom, Koriandersamen
Herz: Schwarze Hemlocktanne, Oud
Basis: Vetiver, Zedernholz, Sandelholz, Moschus","würzig, harzig, holzig, moosig","geheimnisvoll, waldig, maskulin","mystischer Nadelwald im Nebel, würzige Nadeln und dunkles Harz","Abend, Herbstspaziergang, besondere Anlässe","Herbst, Winter",6–8 h,moderat bis stark,seltene Verwendung von schwarzer Hemlocktanne und Oud; britischer Klassiker,Ormonde Jayne,Ormonde Man,0.50,"Grün fruchtig am Anfang, dann solala seifig","Alsterhaus, Parfums Lubner",,
234,Guerlain,Épices Exquises,Orientalisch,Oud / Würzig,"Lineare Noten: Schwarzer Pfeffer, Kardamom, Sandelholz, Angelika, Kaffee, Oud, Patchouli, Rosa Pfeffer","würzig, harzig, holzig, gourmand","opulent, orientalisch, warm",luxuriöser Gewürzbasar mit frisch gebrühtem Kaffee und Oudholz,"Abend, besondere Anlässe","Herbst, Winter",8 h+,stark,vereint exotische Gewürze und Kaffee mit samtigem Oud,Guerlain,Épices Exquises,0.50,Kardamom seifig,Alsterhaus,,
235,Roja Parfums,Apex,Chypre,Grün / Würzig / Zitrisch,"Kopf: Bergamotte, Zitrone, Mandarine, Orange
Herz: Zistrose, Ananas, Jasmin
Basis: Zypresse, Tannenbalsam, Eichenmoos, Benzoe, Cashmeran, Elemi, Weihrauch, Galbanum, Wacholderbeere, Labdanum, Patchouli, Amber, Moschus, Sandelholz, Ambergris, Leder, Rum, Tabak","grün, würzig, holzig, ledrig, harzig","kraftvoll, abenteuerlich, maskulin",Expedition durch dichten Urwald mit Zitrusfrische und rauchigem Lagerfeuer,"Statement, Abend","Herbst, Winter",8–10 h,stark,"komplexer Basis‑Mix aus Rum, Leder und Tabak; moderner Power‑Chypre",Roja Parfums,Apex,0.40,"Fruchtig frisch, zu suess und blumig",Alsterhaus,,
236,Giorgio Armani,Oud Royal,Orientalisch,Harzig / Oud / Weihrauch,"Kopf: Safran
Herz: Laotischer Oud, Rose
Basis: Weihrauch, Myrrhe, Amber, Sandelholz","holzig, harzig, rauchig, würzig, süß","opulent, majestätisch, edel",königlicher Palast im Orient voller Oud und Weihrauch,"Abend, Festlichkeiten","Herbst, Winter",8–10 h,stark,"hochwertige Kombination aus Laotischem Oud, Safran und Weihrauch mit langem Nachhall",Giorgio Armani,Oud Royal,0.40,"Leicht süße Myrrhe, gut, aber spaeter zu suess",Alsterhaus,,
237,Roja Parfums,Enigma pour Homme,Orientalisch,Spirituosen / Tabak / Vanille,"Kopf: Bergamotte
Herz: Heliotrop, Geranie, Jasmin, Rose, Neroli
Basis: Cognac, Benzoe, Tabak, Vanille, Ambergris, Kardamom, Ingwer, Patchouli, Pfeffer, Sandelholz","würzig, süß, alkoholisch (Cognac), orientalisch","opulent, luxuriös, elegant",Cognac und rauchiger Tabak in einer mit Leder ausgekleideten Bibliothek,"Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,cognac‑getränkter Tabak mit orientalischen Gewürzen,Roja Parfums,Enigma pour Homme,0.40,"Würzig süß, patchouli?, floral, spannend, aber Cola die man nicht mehr vergessen kann",Alsterhaus,,
238,Headspace,Myrrhe,Orientalisch,Harzig / Weihrauch,"Lineare Noten: Myrrhe, Ceylon‑Zimt, Weihrauch, Zedernholz, Indonesischer Patchouli, Ambroxan","harzig, würzig, rauchig, holzig, süß","warm, meditativ, mystisch",eine erleuchtete Wüstennacht voller Myrrhe und Zimt,"Abend, kontemplativ","Herbst, Winter",8–10 h,stark,reiner Myrrhenduft mit warmem Zimt und Patchouli,Headspace,Myrrhe,0.30,"Süß, Kopfschmerzen , leicht zitrisch, seifig","50ml, Alsterhaus",,
239,Haeckels,Walpole (1° 24’ 9”E 51° 23’ 34”N),Aquatisch,Floral / Grün / Salzig,"Kopf: Meersalz, Algen, Zitrusnoten
Herz: Wickenblüte, Rose, Seegras","Basis: Ambra, Moschus, Eichenmoos","frisch, maritim, florale Anklänge","naturverbunden, weich, beruhigend","ruhiger Küstenpfad, salzige Brise und wilde Blüten am Strand","Freizeit, Urlaub",Frühling,Sommer,"4–6 h, moderat",Haeckels,Walpole (1° 24’ 9”E 51° 23’ 34”N),,,?,,
240,Bujairami,G’day,Zitrisch,Aromatisch / Grün,"Kopf: Limette, Grapefruit, Minze
Herz: Rosmarin, Eukalyptus, Lavendel
Basis: Vetiver, Zedernholz, Moschus","frisch, aromatisch, holzig","optimistisch, klar, luftig",sonniger Morgen in Sydney mit frisch geernteten Kräutern,"Alltag, Sport","Frühling, Sommer",4–6 h,moderat,typisch australischer Duft mit Eukalyptus und frischen Kräutern,Bujairami,G’day,,,?,,
241,Womo,Santal + Coffee,Orientalisch,Gourmand / Holzig,"Lineare Noten: Myrrhe, Arabica‑Kaffee CO₂, Atlaszeder, Bergamotte, Zimt, Davana, Ebenholz, Elemi, Tannenbalsam, Labdanum, Lavendel, Moschus, Muskatnuss, Opoponax, Sandelholz","holzig, würzig, süß, harzig, aromatisch","gemütlich, raffiniert, gourmand",elegantes Café mit frisch gemahlenem Kaffee und warmem Sandelholz,"Abend, gemütliche Treffen","Herbst, Winter",8–9 h,stark,ungewöhnliche Verschmelzung von Sandelholz und Kaffee mit aromatischen Gewürzen,Womo,Santal + Coffee,,,?,wichtig,
242,Womo,Black Tobacco,Orientalisch,Tabak / Würzig,"Kopf: Tabakblüte, Kümmel
Herz: Tabakblatt, Honig, Koriander
Basis: Vanille, Kakao, Tolubalsam","rauchig, süß, würzig, harzig, holzig","opulent, dunkel, gourmand",Zigarre und Whisky in einer warmen Honig‑Bar,"Abend, Statement","Herbst, Winter",8–10 h,stark,ausdrucksstarker Tabak‑Honig‑Duft mit würziger Wärme,Womo,Black Tobacco,,,?,wichtig,
243,19-69,La Habana,Orientalisch,Spirituosen / Tabak / Würzig,"Kopf: Safran, Aldehyde
Herz: Elemi‑Harz, Weihrauch
Basis: Amber, Karamell, laotischer Oud, Ambroxan, Hyrax, Vanille Absolute","rauchig, harzig, würzig, süß, oud","dunkel, mystisch, warm, exotisch",Rum‑Zigarren‑Lounge in Havanna voller Rauch und Gewürze,"Abend, Statement","Herbst, Winter",8–10 h,stark,von Havanna inspirierter rauchiger Oud‑Amber‑Duft mit Karamellnote,19-69,La Habana,,,?,wichtig,
244,Fabrizio Tagliacarne,Icio,Orientalisch,Harzig / Holzig,"Kopf: Zitronenverbene, Salbei
Herz: Rosmarin, Lavendel, Lorbeerblatt
Basis: Zeder, Weihrauch, Moschus","frisch, krautig, zitrisch, harzig","mediterran, klar, dynamisch",Weg entlang italienischer Klippen: Kräuterduft und Meeresbrise,"Alltag, Spaziergänge","Frühling, Sommer",4–6 h,moderat,italienischer Parfumhandwerker; unisex-Komposition mit typisch mediterranen Kräutern,Fabrizio Tagliacarne,Icio,,,?,,
245,Arquiste,Nanban,Orientalisch,Harzig / Leder / Oud / Tee,"Kopf: Schwarzer Pfeffer, Safran, Mespilus (Japanische Mispel)
Herz: Kaffee, Jasmin, Kopalharz
Basis: Leder, Weihrauch, Myrrhe, Sandelholz","warm, würzig, ledrig, harzig","exotisch, reich, historisch","Handelsschiff im 17. Jh. – Gewürzballen, Kaffee und Lederrollen im Schiffsrumpf","Abend, besondere Events","Herbst, Winter",8–10 h,stark,"inspiriert von der Reise japanischer Gesandter nach Mexiko 1618; verbindet Kaffee, Gewürze und Leder",Arquiste,Nanban,,,?,,
246,Oman Luxury,Royal Incense,Orientalisch,Harzig / Oud / Weihrauch / Würzig,"Kopf: Rosa Pfeffer
Herz: Rosengeranie, Lilie
Basis: Omanischer Weihrauch, Honig, Amber, Zedernholz, Moschus, Leder, Vetiver","rauchig, harzig, würzig, holzig, süß","mystisch, opulent, warm",Nebelschwaden von Oman‑Weihrauch in einer orientalischen Wüstenoase,"Abend, Statement","Herbst, Winter",8–10 h,stark,"Kombination aus Omani‑Weihrauch, Honig und Leder",Oman Luxury,Royal Incense,0.8,"sehr rosiger beginn, spaeter weihrauch, nach 2h angenehm
rosenweihrauch","50ml, tryasample",nicht bei Lubner gefunden,
247,Jacques Zolty,Cubata,Orientalisch,Spirituosen / Tabak / Vanille,"Kopf: Tabak, Birke, Blattgrün
Herz: Honig, Rum, Gewürznoten
Basis: Amber, Guajakholz, Tonkabohne","rauchig, süß, würzig, holzig, harzig","warm, karibisch, gourmand",eine kubanische Zigarrenfabrik mit Honig und Rum,"Abend, Statement","Herbst, Winter",7–9 h,moderat,Honig‑Rum‑Akkord mit Tabak und Guajakholz,Jacques Zolty,Cubata,0.5,"frisches gruen und interessant zu beginn (suesser thymian?), am ende riecht es nach getrocketter pisse",50ml,,
248,Meo Fusciuni,Luce,Orientalisch,Floral / Holzig / Weihrauch,"Kopf: Birke, Zedernblatt, Leder
Herz: Patchouli, Sandelholz, Tabak
Basis: Vanille, Ambergris, Benzoe","holzig, rauchig, ledrig, süß, harzig","warm, dunkel, mystisch",eine waldige Hütte mit Lederstühlen und brennendem Feuer,"Abend, entspannte Abende","Herbst, Winter",6–8 h,moderat,"Kombination aus Leder, Birke und Vanille",Meo Fusciuni,Luce,,,50ml,,
249,Akro,Awake,Gourmand,Kaffee / Würzig / Zitrisch,"Kopf: Brasilianischer Kaffee, Zitrone
Herz: Grüner Kardamom
Basis: Vetiver","kaffeeartig, würzig, süß, cremig, zitrisch","energetisch, warm, süchtig machend",frischer Kaffeegenuss am Morgen mit Zitronenzeste,"Alltag, Freizeit","Herbst, Winter",6–8 h,moderat,intensiver Kaffeeakkord mit zitrischer Frische,Akro,Awake,,,50ml,,
250,Aedes de Venustas,Café Tabac,Orientalisch,Harzig / Kaffee / Tabak,"Lineare Noten: Tabak‑Absolue, Apfel, Dattel, Mango, Amber, Bienenwachs, Bergamotte, Karamell, Kardamom, Zedernholz, Muskatellersalbei, Nelke, Kakao, Feige, Labdanum, Eichenmoos, Peru‑Balsam, Tamarinde, Tonkabohne, Vanille, Wacholder‑Holz, Davana, Teer","rauchig, süß, fruchtig, würzig, harzig","opulent, bohemian, gemütlich",ein vollmundiger Duft aus Kaffeehaus und Tabak‑Bar im East Village,"Abend, Winter","Herbst, Winter",8–10 h,moderat bis stark,"komplexe Mischung aus Tabak, getrockneten Früchten und Kaffeehaus‑Atmosphäre",Aedes de Venustas,Café Tabac,,,50ml,,
251,Śasva,L’Amour Libertin,Orientalisch,Floral / Harzig / Würzig,"Kopf: Pfeffer, Provence‑Lavendel, Safran, Ingwer
Herz: Amber, Weihrauch, Rum, Mohn
Basis: Leder, Oud, Sandelholz, Vanille, Benzoe, Tabak","warm, würzig, rauchig, süß, ledrig","mystisch, dunkel, sinnlich","mittelalterliches Opiumhaus voller Gewürze, Rum und Rauch","Abend, Statement","Herbst, Winter",10 h+,stark,Safran‑Pfeffer mit Rum und rauchigem Oud,Śasva,L’Amour Libertin,0.6,"frisches suesses opening, fast fruchtig, dann ganz dezentes leder, langweilig und austauschbar",50ml,,
252,Bon Parfumeur,603 Cuir Encens Fève Tonka,Ledrig,Tonka / Weihrauch / Würzig,"Kopf: Veilchenblatt, Zitrone, Muskatnuss
Herz: Olibanum (Weihrauch), Muskatellersalbei, Zypresse
Basis: Cashmeran, Leder, Tonkabohne, Cistus, Styrax","ledrig, würzig, grün, rauchig, süß","raffiniert, warm, modisch","eine elegante Lederjacke im Kräutergarten, durchzogen von Weihrauch","Abend, Alltag","Herbst, Winter",6–8 h,moderat,grüne Weihrauch‑Leder‑Komposition mit cremiger Tonkabohne,Bon Parfumeur,603 Cuir Encens Fève Tonka,,,50ml,,
253,Jovoy,La Liturgie des Heures,Orientalisch,Harzig / Weihrauch / Würzig,"Kopf: Zypresse, grüne Noten, frische Noten
Herz: Weihrauch, Myrrhe, Zistrose, weitere Rauchstoffe
Basis: Patchouli, Moschus","harzig, rauchig, balsamisch, grün","spirituell, meditativ, ruhig",eine alte Klosterkirche im Weihrauchnebel während der Gebetsstunden,"Abend, Meditation, besondere Momente","Herbst, Winter",6–8 h,moderat,kirchliche Weihrauch‑Komposition mit Zypresse und Myrrhe,Jovoy,La Liturgie des Heures,0.7,"zypresse ziemlich balsamisch fast zitrisch, leicht kirchenraeucherharzig, dahinter weihrauch, es bleibt das balsamische, leicht und hell, zypresse ist zu praesent",50ml,,
254,Amouage,Opus XIV – Royal Tobacco,Orientalisch,Harzig / Tabak / Würzig,"Kopf: Anis, Weihrauchöl, Kardamom, Elemi‑Harz, Basilikum, Bergamotte
Herz: Lakritzwurzel, Tabak‑Absolue, Bockshornklee, Bulgarische Rose, Lavendel, Orangenblüte, Osmanthus, Prunol
Basis: Weihrauch, Gaiac‑Holz, Myrrhe, Assam‑Oud, Benzoe, Birkenteer, Bourbon‑Vanille, Labdanum, Moschus, Peru‑Balsam, Tonkabohne, Vetiver","rauchig, würzig, harzig, orientalisch, holzig","opulent, exotisch, majestätisch","Karawanenlager in der Wüste mit Tabak, Lakritz und Weihrauch","Abend, Statement","Herbst, Winter",10 h+,sehr stark,komplexes Kunstwerk aus der „Library Collection“ mit seltenen Ingredienzen wie Lakritzwurzel und Assam‑Oud,Amouage,Opus XIV – Royal Tobacco,,,Alsterhaus,wichtig,
255,Azzaro,Wanted by Night,Orientalisch,Holzig / Süß / Würzig,"Kopf: Zimt, Mandarine
Herz: Kümmel, Virginia‑Zeder, Weihrauch
Basis: Tabak Absolute, Zedernholz, Zypresse","würzig‑süß, fruchtig, rauchig, harzig","verführerisch, sinnlich, maskulin",nächtliche Party mit Zimt‑ und Tabakschwaden,"Abend, Statement","Herbst, Winter",8–9 h,stark,"explosive Kombination aus Zimt, Rot‑Zeder und Tabak",Azzaro,Wanted by Night,,,Douglas Mercado,wichtig,
256,Calvin Klein,Obsession for Men,Orientalisch,Harzig / Würzig,"Kopf: Zimt, Koriander, Lavendel, Bergamotte, Grapefruit, Limette, Mandarine
Herz: Nelke, Jasmin, Myrrhe, Muskat, Rosenholz, Salbei, Pinie, Rote Beeren
Basis: Amber, Moschus, Vanille, Patchouli, Sandelholz, Vetiver","warm würzig, süß, rauchig, harzig, holzig","sinnlich, nostalgisch, intensiv",Räucherstäbchen und warme Gewürze in einer 80er‑Jahre‑Lounge,"Abend, Date, Winterabende","Herbst, Winter",8 h+,moderat bis stark,ikonischer 80er‑Jahre‑Duft mit üppigem Gewürz‑ und Amberherz,Calvin Klein,Obsession for Men,,,Galeria,wichtig,
257,D.S. & Durga,Amber Kiso,Orientalisch,Harzig / Holzig,"Kopf: Weihrauch, Sawara‑Zypresse, Kryptomeria
Herz: Japanischer Ahorn, Iris, Patchouli
Basis: Leder, Hinoki, Baum‑Moos","rauchig, holzig, harzig, animalisch","dunkel, mystisch, waldig","alte japanische Tempel im Zypressenwald, durch Weihrauch vernebelt","Abend, meditativer Spaziergang","Herbst, Winter",8–16 h,sehr stark,"kombiniert japanische Zypresse, Ahorn und rauchiges Leder in einem wilden Chypre",D.S. & Durga,Amber Kiso,,,Parfums Lubner,wichtig ,
258,Serge Lutens,Fille en Aiguilles,Orientalisch,Harzig / Holzig / Würzig,"Kopf: Piniennadeln, Weihrauch, Vetiver
Herz: Zimt, Dörrobst, Gewürznelken
Basis: Harz, Benzoe, Honig","pinienartig, harzig, würzig","waldig, warm, spirituell","Kiefernnadeln, Harz und süße getrocknete Früchte bei einem Waldspaziergang","Abend, Herbstspaziergang","Herbst, Winter",8 h+,stark,erweckt das Bild eines schattigen Pinienwaldes mit orientalischem Einschlag,Serge Lutens,Fille en Aiguilles,,,?,nicht im Alsterhaus gefunden,
259,Serge Lutens,Chypre Rouge,Chypre,Harzig / Moosig / Würzig,"Kopf: Pinienharz, Wermut, Gewürznelken
Herz: Honig, Patschuli, Sandelholz, Rotweinnote
Basis: Amber, Eichenmoos, Cistus","harzig, süß, erdig, balsamisch","dramatisch, geheimnisvoll, dunkel","alter Wald mit feuchtem Moos, Rotwein und warmem Harz","Abend, Winterabende","Herbst, Winter",7–9 h,moderat,unkonventionelles Chypre mit Rotwein- und Honignuancen,Serge Lutens,Chypre Rouge,,,?,nicht im Alsterhaus gefunden,
260,Molinard,Ambre,Orientalisch,Balsamisch / Vanille,"Kopf: Koriander, Thymian, Myrte
Herz: Labdanum, Amber, Weihrauch
Basis: Sandelholz, Tonkabohne, Moschus","würzig-süß, harzig, warm","warm, elegant, gemütlich",orientalischer Teesalon mit Harzen und Gewürzen,"Abend, Alltag","Herbst, Winter",6–8 h,moderat,moderner Amberduft aus der „Collection Matières“,Molinard,Ambre,,,?,,
261,Goldfield & Banks,Tales of Amber,Orientalisch,Harzig / Würzig,"Kopf: Ambre 83 Accord, Australischer Oud, Iris, Neuseeländisches Ambergris, Zimt, Orangenblüte","harzig, holzig, süß, pudrig, würzig","warm, beruhigend, luxuriös","Sonnenuntergang über einem Küstenwald, Harz und warmer Sand","Alltag, Abend","Frühling, Herbst, Winter",8–10 h,moderat bis stark,Ambre‑83‑Akkord trifft auf australisches Oud und Ambergris,Goldfield & Banks,Tales of Amber,,,Alsterhaus,,
262,Calvin Klein,Amber Gold Euphoria Men,Orientalisch,Holzig / Oud / Würzig,"Kopf: Bergamotte, Thymian, Zypresse
Herz: Honig, Jasmin‑Absolue, Oregano, Salbei
Basis: Weihrauch, Leder, Amber, Vetiver","harzig, süß, ledrig, würzig","warm, exotisch, verführerisch","orientalischer Basar voller Honig, Leder und Gewürze","Abend, Date, besondere Anlässe","Herbst, Winter",8–10 h,stark,limitierte Nahost‑Edition mit intensivem Honig‑Weihrauch‑Leder‑Mix,Calvin Klein,Amber Gold Euphoria Men,,,EOL,,
263,Aramis,Aramis Classic,Chypre,Ledrig / Moosig / Würzig,"Kopf: Aldehyde, Artemisia, Kümmel, Bergamotte, Thymian, Gardenie, Klee
Herz: Salbei, Nelke, Iriswurzel, Jasmin, Kardamom, Myrte
Basis: Eichenmoos, Leder, Vetiver, Amber, Moschus, Patchouli, Sandelholz, Kokos","würzig, ledrig, holzig, grün","klassisch, maskulin, herb",ein gut gekleideter Gentleman im Ledersessel mit Pfeifenrauch,"Alltag, Büro, Abend","Herbst, Winter",7–9 h,moderat bis stark,ikonischer Leder‑Chypre aus den 1960er Jahren mit zeitlosem Stil,Aramis,Aramis Classic,,,Galeria,,
264,Mancera,Aoud Café,Orientalisch,Kaffee / Oud / Vanille,"Kopf: Schwarze Johannisbeere, Pfirsich, Bergamotte
Herz: Kaffee, Amber
Basis: Oud, Sandelholz, Weißer Moschus","süß, fruchtig, kaffeelastig, holzig, oud","lebhaft, gourmand, modern",süßer Kaffee mit Beeren in einem orientalischen Café,"Alltag, Abend","Herbst, Winter",8–9 h,stark,seltene Kombination aus authentischem Kaffee und Oud,Mancera,Aoud Café,,,Parfums Lubner,,
265,Pierre Guillaume,Myrrhiad,Orientalisch,Myrrhe / Tee / Vanille,"Lineare Noten: Myrrhe, Vanille, Glycyrrhiza glabra (Lakritz), Schwarzer Tee‑Absolue","süß, harzig, lakritzig, teerig, vanillig","gemütlich, exotisch, beruhigend",eine Tasse süßer Gewürztee mit Lakritz und Vanille in einer Räucherhöhle,"Abend, entspannter Tag","Herbst, Winter",6–8 h,moderat,"warmes Zusammenspiel aus Myrrhe, Vanille und Lakritz auf Tee‑Basis",Pierre Guillaume,Myrrhiad,,,Parfums Lubner,,
266,D.S. & Durga,St. Vetyver,Holzig,Grün / Vetiver / Würzig,"Kopf: Rosa Pfeffer, Bitterorange, Seegras
Herz: Nelkenblatt, Karibischer Zuckerrohrsaft, Palmenstroh
Basis: Haitianischer Vetiver, Rum, Brotnuss","grün, würzig, tropisch, rumhaltig, erdig","entspannt, karibisch, maritim","Karibischer Strand bei Sonnenuntergang mit Rum, Zuckerrohr und frischem Vetiver","Freizeit, Urlaub","Frühling, Sommer, Herbst",6–8 h,moderat,mischt Vetiver mit Seegras und Rum für karibisches Flair,D.S. & Durga,St. Vetyver,,,Parfums Lubner,,
296,Farmacia SS. Annunziata,Whisky Nobile,Orientalisch,Leder / Spirituosen / Tabak / Vanille,"Kopf: Whiskey-Akkord, Honig, Zimt
Herz: Tabakblatt, Tonkabohne, Leder
Basis: Amber, Labdanum, Vanille, Sandelholz","rauchig, süß, würzig, holzig","warm, opulent, gemütlich","Herrenclub mit Kristallwhisky, Honiggebäck und Ledersesseln","Abend, Winter, Kaminabende","Herbst, Winter",8–10 h,stark,italienische Interpretation von Whisky und Tabak mit honig-süßer Wärme,Farmacia SS. Annunziata,Whisky Nobile,,,Parfums Lubner,wichtig,
328,L'Artisan Parfumeur,Vétiver Écarlate,,,,,,,,,,,,L'Artisan Parfumeur,Vétiver Écarlate,,,Parfums Lubner,wichtig,tomatenblatt
269,Profumum Roma,Patchouly,Orientalisch,Harzig / Holzig / Patchouli,"Lineare Noten: Patchouli, Amber, Weihrauch, Sandelholz","erdig, würzig, holzig, harzig, schokoladig","tief, sinnlich, bohemian",dunkle Bibliothek mit Patchouli‑Rauch und Schokoladennoten,"Abend, Herbstabende","Herbst, Winter",10 h+,sehr stark,"intensiver erdiger Patchouli mit Amber und Weihrauch, herausragende Haltbarkeit",Profumum Roma,Patchouly,,,Parfums Lubner,,
270,Pana Dora,Imperial Wood,Orientalisch,Holzig / Oud / Würzig,"Kopf: Damaszener Rose, Safraleine, Gewürznoten, Thymian, Tabak
Herz: Tonkabohne, Kardamom, Nelke, Weihrauch, Sandelholz, Zimt, Kakao, Vanille
Basis: Amberwood, Weihrauch, Indonesischer Oud, Leder","holzig, würzig, süß, rauchig, ledrig","opulent, mystisch, warm","orientalischer Basar mit Rosen, Gewürzen und rauchigem Oud","Abend, Statement","Herbst, Winter",10 h+,stark,intensives Extrakt mit einzigartiger Kombination aus Kakao und indonesischem Oud,Pana Dora,Imperial Wood,,,Parfums Lubner,,
271,D.S. & Durga,Cognac Reign,Orientalisch,Harzig / Spirituosen / Würzig,"Kopf: Gealtertes Holz, karamellisierte Bergamotte
Herz: Cognac, Orris Concrete
Basis: Eiche, Tonkabohne","holzig, süß, warm, alkoholisch","barock, luxuriös, wärmend","ein edles Cognacglas in einer holzgetäfelten Bar, begleitet von karamellisierter Bergamotte","Abend, festlich","Herbst, Winter",ca. 6–8 h,moderat,"einzigartige Verbindung von Cognac, karamellisierter Bergamotte und warmem Holz",D.S. & Durga,Cognac Reign,,,Parfums Lubner,,
272,Tiziana Terenzi,Chimaera,Orientalisch,Harzig / Leder / Oud / Würzig,"Kopf: Zitrone, Safran, Lorbeerblatt, Schwarzer Pfeffer, Tolu‑Balsam, Weißes Leder, Erde, Thymian
Herz: Weihrauch, Honig, Kamelie, Pfingstrose, Rote Paprika, Salbei, Schwarze Magnolie, Nelke, Iris
Basis: Karamell, Kaschmirholz, Copaiba‑Balsam, Benzoe, Labdanum, Leder, Oud, Patchouli, Pinie, Tabak","würzig, balsamisch, rauchig, süß, ledrig","opulent, warm, komplex","exotischer Hafen voller Gewürzmärkte, Rauch und Karamell","Abend, Statement","Herbst, Winter",10 h+,sehr stark,"über 30 Noten: süße, rauchige und harzige Explosion",Tiziana Terenzi,Chimaera,,,tryasample,,
273,Tauer Perfumes,Sundowner,Orientalisch,Gourmand / Tabak / Würzig,"Lineare Noten: Cypriol, Tabak‑Absolue, Zimt, Orangenschale, Patchouli, Vanille, Ambergris, Bergamotte, Kakao‑Absolue, Rosen‑Absolue, Sandelholz, Tonkabohne","süß, würzig, tabaklastig, schokoladig, warm","gemütlich, rauchig, gourmand","am Lagerfeuer bei Sonnenuntergang mit Zimt, Kakao und Zigarrenrauch","Abend, entspannte Stunden","Herbst, Winter",8–10 h,stark,harmonischer Tabak‑Kakao‑Zimt‑Mix mit Tauer‑typischer Bernsteinbasis,Tauer Perfumes,Sundowner,0.50,"alkoholische orange, zimtig, wird suesser, ganz leicht rosig, kopfschmerzig suess wenn zu dicht dran, punsch","tryasample, 50ml",,
274,Zoologist Perfumes,Tyrannosaurus Rex,Orientalisch,Harzig / Holzig / Leder / Rauchig,"Kopf: Lorbeerblatt, Schwarzer Pfeffer, Tannennadel, Muskatnuss, Bergamotte, Neroli
Herz: Champaca‑Blüte, Osmanthus, Rose‑Oxide, Geranie, Jasmin, Ylang‑Ylang
Basis: Harze, Zeder, Weihrauch, Leder, Patchouli, Zibet, Sandelholz, Vanille, Cade","rauchig, harzig, ledrig, animalisch, würzig","wild, urzeitlich, dramatisch",Vulkanischer Urwald mit brennenden Bäumen und animalischem Leder,"Abend, Statement","Herbst, Winter",10 h+,sehr stark,"exzentrische Kombination aus verbrannten Hölzern, Leder und exotischen Blüten",Zoologist Perfumes,Tyrannosaurus Rex,,,tryasample,,
275,Yves Saint Laurent,M7 Oud Absolu,Orientalisch,Harzig / Holzig / Oud,"Kopf: Mandarine, Mineralnoten, Orange, Bergamotte
Herz: Oud, Patchouli, Rosmarin
Basis: Labdanum, Myrrhe, Amber, Moschus, Vetiver","holzig, harzig, würzig, warm, rauchig","kraftvoll, maskulin, raffiniert",Wüstenlagerfeuer mit Oudharz und Zitrusfrische,"Abend, Statement","Herbst, Winter",ca. 8 h,stark,einer der ersten Designer‑Düfte mit Oud; verbindet Zitrusfrische mit dunklem Harz,Yves Saint Laurent,M7 Oud Absolu,,,tryasample,,
276,Naomi Goodsir,Bois d’Ascèse,Orientalisch,Holzig / Rauchig / Tabak / Weihrauch,"Kopf: Schottischer Whisky, Nelken
Herz: Weihrauch, Tabak, Zedernholz
Basis: Birken-Teer, Labdanum, Amber","rauchig, harzig, ledrig","intensiv, mystisch, dunkel",brennender Weihrauch und Whisky in einer Klosterkirche,"Abend, Zeremonien","Herbst, Winter",8–10 h,stark,Nischenduft mit rauchigem Scotch und Weihrauch; extrem markant,Naomi Goodsir,Bois d’Ascèse,,,tryasample,,
277,Francesca Bianchi,The Dark Side,Orientalisch,Harzig / Vanille / Würzig,"Kopf: Honig, Zimt, Orange, Rum
Herz: Iris, Sandelholz, Zeder, Tabak
Basis: Tonkabohne, Ambergris, Vanille, Weihrauch, Moschus","süß, warm, rauchig, balsamisch","geheimnisvoll, sinnlich, animalisch","Kerzenschein, Räucherharz und orientalische Süßspeisen in einer luxuriösen Höhle","Abend, besondere Anlässe","Herbst, Winter",8 h+,stark,opulentes Honig-Tonka-Tabak-Bouquet mit animalischer Tiefe,Francesca Bianchi,The Dark Side,0.5,"trocken holziger beginn, irgendwann kommt rauch dazu, langweilig
trockenes schoko-holz","tryasample, 50ml",,
